,1/11/2008,1/18/2008,1/25/2008,2/1/2008,2/8/2008,2/15/2008,2/22/2008,2/29/2008,3/7/2008,3/14/2008,3/20/2008,3/28/2008,4/4/2008,4/11/2008,4/18/2008,4/25/2008,5/2/2008,5/9/2008,5/16/2008,5/23/2008,5/30/2008,6/6/2008,6/13/2008,6/20/2008,6/27/2008,7/3/2008,7/11/2008,7/18/2008,7/25/2008,8/1/2008,8/8/2008,8/15/2008,8/22/2008,8/29/2008,9/5/2008,9/12/2008,9/19/2008,9/26/2008,10/3/2008,10/10/2008,10/17/2008,10/24/2008,10/31/2008,11/7/2008,11/14/2008,11/21/2008,11/28/2008,12/5/2008,12/12/2008,12/19/2008,12/26/2008,1/2/2009,1/9/2009,1/16/2009,1/23/2009,1/30/2009,2/6/2009,2/13/2009,2/20/2009,2/27/2009,3/6/2009,3/13/2009,3/20/2009,3/27/2009,4/3/2009,4/9/2009,4/17/2009,4/24/2009,5/1/2009,5/8/2009,5/15/2009,5/22/2009,5/29/2009,6/5/2009,6/12/2009,6/19/2009,6/26/2009,7/2/2009,7/10/2009,7/17/2009,7/24/2009,7/31/2009,8/7/2009,8/14/2009,8/21/2009,8/28/2009,9/4/2009,9/11/2009,9/18/2009,9/25/2009,10/2/2009,10/9/2009,10/16/2009,10/23/2009,10/30/2009,11/6/2009,11/13/2009,11/20/2009,11/27/2009,12/4/2009,12/11/2009,12/18/2009,12/24/2009,12/31/2009,1/8/2010,1/15/2010,1/22/2010,1/29/2010,2/5/2010,2/12/2010,2/19/2010,2/26/2010,3/5/2010,3/12/2010,3/19/2010,3/26/2010,4/1/2010,4/9/2010,4/16/2010,4/23/2010,4/30/2010,5/7/2010,5/14/2010,5/21/2010,5/28/2010,6/4/2010,6/11/2010,6/18/2010,6/25/2010,7/2/2010,7/9/2010,7/16/2010,7/23/2010,7/30/2010,8/6/2010,8/13/2010,8/20/2010,8/27/2010,9/3/2010,9/10/2010,9/17/2010,9/24/2010,10/1/2010,10/8/2010,10/15/2010,10/22/2010,10/29/2010,11/5/2010,11/12/2010,11/19/2010,11/26/2010,12/3/2010,12/10/2010,12/17/2010,12/23/2010,12/31/2010,1/7/2011,1/14/2011,1/21/2011,1/28/2011,2/4/2011,2/11/2011,2/18/2011,2/25/2011,3/4/2011,3/11/2011,3/18/2011,3/25/2011,4/1/2011,4/8/2011,4/15/2011,4/21/2011,4/29/2011,5/6/2011,5/13/2011,5/20/2011,5/27/2011,6/3/2011,6/10/2011,6/17/2011,6/24/2011,7/1/2011,7/8/2011,7/15/2011,7/22/2011,7/29/2011,8/5/2011,8/12/2011,8/19/2011,8/26/2011,9/2/2011,9/9/2011,9/16/2011,9/23/2011,9/30/2011,10/7/2011,10/14/2011,10/21/2011,10/28/2011,11/4/2011,11/11/2011,11/18/2011,11/25/2011,12/2/2011,12/9/2011,12/16/2011,12/23/2011,12/30/2011,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/5/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013
1.5_5_150,92085,77655,64240,53613,40778,35943,34859,28188,25004,20369,5411,2687,-11925,-12406,-20903,-21210,-24896,-24938,-24964,-29090,-25317,-22564,-24009,-20586,-27390,-29056,-37219,-48751,-54478,-58234,-66513,-63661,-68483,-55468,-68696,-81019,-101033,-111074,-124784,-137146,-149942,-168148,-184056,-198143,-216819,-234892,-245747,-259306,-268731,-274912,-272958,-277375,-273287,-283928,-288338,-292068,-299725,-303516,-304314,-310521,-313953,-328867,-329505,-326010,-325846,-313304,-296298,-288163,-274954,-272024,-264427,-247548,-237829,-221740,-194784,-180878,-154127,-126418,-101227,-107626,-90120,-69629,-45588,-11797,14907,42921,62215,87290,94269,128932,159048,171524,202575,228191,224387,241996,266446,291824,318020,331578,354444,375382,394568,423445,435654,450242,453114,460650,466059,480256,496443,511931,523067,540758,555452,565022,580670,593931,602461,603990,598392,577886,576560,557674,551498,551258,550086,553976,538476,519587,510087,512285,507700,512524,519222,506716,507915,500247,492307,499126,505203,508667,518448,519977,526527,533650,541877,536193,537465,538963,544854,539250,547763,553190,565517,584647,583278,585466,587271,592077,589811,599372,608426,605272,609507,604873,599044,602118,613221,622575,628686,630812,636493,630675,639768,650270,657438,652853,657323,664937,664396,648537,654409,661280,661178,653549,631342,628444,616670,615057,612236,600598,588445,568676,559937,548075,543959,535419,523644,513070,514567,512469,513140,499449,507302,502054,503073,522709,529082,536784,545977,554291,556184,571363,587868,604247,616344,627667,638243,655905,669297,683479,695226,709246,712068,718405,726071,718372,723531,717353,711658,716715,719870,725357,733366,741454,746614,742170,746174,755449,771749,785274,806217,805917,806074,816256,824022,835177,842500,840720,847787,846670,848954,847279,851776,861247,868957,875943,877017,892147,876225,883086,894907,897642,906158,917377,929745
1.75_21_200,94797,88127,86643,85670,82028,82881,83560,83011,83035,83147,75944,75720,70819,73006,69773,71249,73523,73941,73278,71517,72566,76852,77231,80863,78778,77732,76256,72400,71748,71253,66193,68102,67708,74009,63446,55365,40732,35677,28574,23760,23788,23181,22131,20685,10269,2730,1843,857,-37,1354,5398,8022,12181,6499,9175,13735,10490,11944,14316,16457,17560,13232,14509,16715,19002,22825,32657,41947,48274,49418,58246,67812,74940,88817,104491,117624,134206,149884,168015,165637,180016,194653,203404,218880,238365,261466,285121,306426,317537,336161,354435,367507,392720,409761,413699,424545,440654,454854,466146,477962,495450,512300,525338,538761,547454,557747,559839,567355,573269,580107,586894,597414,605331,615618,622351,628165,634093,643262,650817,652735,652539,630713,630141,622398,623516,623169,624575,627570,623366,608867,609440,611006,611357,614541,616478,612266,614193,613480,613054,616103,619909,623227,626648,629658,632188,636247,640537,635861,639089,641764,644865,642618,647659,652394,655869,661125,662090,665665,667015,670165,670977,675773,679924,679785,683386,680648,681130,684462,688879,694298,698646,702081,707503,704087,709684,715899,721352,720280,723259,727551,730134,719839,723167,725993,725958,723257,702794,701776,699008,699490,700875,698949,693844,679281,676250,672702,672980,672969,668578,669074,671790,671891,672684,667594,671836,672612,675155,680707,682633,687559,689340,692023,693430,699863,708369,716071,724378,733732,740885,749617,757487,763079,773146,781660,786271,791873,797986,796100,797750,798145,798600,804854,809557,812509,818229,821932,826456,824865,829169,833502,839288,843053,851881,851796,850441,856312,861670,865620,869677,868966,873385,873562,876507,877415,881493,884402,886844,891474,892100,896647,886546,891669,898404,899477,904508,910879,917299
2.0_21_300,97482,89881,88232,87692,86065,87610,88998,90535,91783,91576,85536,85033,82261,83702,81187,81127,83596,84546,85905,85299,86742,91352,92978,96806,95437,94788,94383,92189,90951,91109,86544,88561,89698,94272,84401,79881,63656,59802,55596,51222,51228,50546,50239,50198,41929,36980,36939,37139,37266,39207,42348,45177,48837,47413,49586,52919,50949,56095,57754,60704,62768,59885,61577,63239,65508,68816,77184,85488,93004,97170,105504,113983,123331,136080,150006,161441,176274,189622,205563,206847,220870,233152,241524,254297,271528,292804,313859,335092,346650,362320,377700,393288,415909,430063,432945,443982,457343,469645,480063,491584,507605,523393,534722,545805,555781,567485,572022,579880,584963,590394,595428,605223,614260,622686,629957,634789,642023,651630,658481,659224,658758,630586,630421,621651,622348,622275,623874,626090,622507,608661,609213,610831,611431,613194,613547,612463,614647,615011,615357,618075,620546,623035,624997,626640,628479,631882,634668,635352,638710,642581,645988,644898,649170,652343,655887,659739,660589,665249,668505,672412,673875,677172,680779,682349,685343,682755,684133,686174,689442,694003,697880,700459,705533,704031,708855,713397,718366,718171,720061,723154,725754,717062,719832,722758,724445,721782,698347,698746,696216,696369,697276,697845,692311,680027,680164,678599,678315,678451,674968,675965,678151,678666,679850,675610,678924,679266,681646,685451,686687,691437,692211,695811,696661,703026,711057,717278,725438,733970,740061,748119,754634,759787,769291,776230,781377,787606,794105,793454,794819,796100,798640,804702,809356,812034,816616,821526,825827,825169,827997,830049,835762,839299,847218,850319,852343,857624,862417,865501,870233,870282,874030,876074,878163,879140,882006,884268,886310,889673,891263,896068,889401,893351,898525,899302,903980,909016,915673
1.75_10_100,95034,89323,83222,81137,76564,76638,74567,71234,69426,67648,60337,58410,51333,53857,49916,51022,50160,50870,52804,50056,52259,54289,53238,56195,52143,50423,46589,40546,36745,35395,30225,31396,27414,36145,26667,20717,10129,4474,-2958,-7826,-8945,-15967,-21999,-25315,-37543,-43491,-47732,-51206,-55577,-58218,-58559,-56418,-55863,-61855,-61443,-61495,-67541,-72162,-71943,-72904,-75478,-83103,-82923,-81700,-81617,-73359,-63505,-58046,-49262,-47685,-40080,-27497,-26436,-13425,5447,17071,31485,51833,72533,70475,81558,98979,118844,143415,166030,192863,214553,235029,245518,269925,294398,307531,332172,352203,351698,362770,382988,400274,421072,434378,453178,468729,481963,501618,513446,523286,521288,528142,533781,545016,554466,563704,570412,582143,594203,601294,613420,623408,631512,634200,630486,617595,616906,606271,604876,605442,603888,605923,601435,590173,589656,591777,590449,593324,598167,592030,592731,588638,585392,588747,592925,594012,600284,599786,604415,606386,612400,608936,611823,611065,616009,613500,618687,623027,630871,642318,640293,642709,643685,646508,644530,649986,655948,650781,653737,649234,646339,649174,655154,662325,666542,667999,673864,671533,678653,683520,689802,687442,689240,691805,690728,680836,683696,687355,687760,682803,671105,669901,668300,667853,668099,660777,653086,640520,637863,632475,631453,630576,622697,616514,618902,617900,618007,613318,617919,616603,618490,626484,630743,637433,642192,649594,650919,663007,674611,685464,696190,702371,710950,719111,731151,741153,746912,752941,754650,758906,764215,762881,766294,763079,758403,761473,764090,766304,773289,776727,780639,777700,780720,784628,792840,804547,821098,820110,820276,825669,832245,839146,845761,846229,850846,851451,852101,852736,856822,861354,866670,871623,871317,879586,868939,872870,881182,884041,890485,897530,908285
1.75_21_150,95776,91036,89142,88579,85767,86336,87305,86573,87075,86415,80852,79613,74786,76583,73833,74604,76508,77336,77067,75642,76793,80411,80727,84419,82597,82017,80229,76568,76343,75171,71124,71737,71272,77243,69008,61420,50107,45881,40146,36632,36760,36193,35003,33897,25519,19345,18475,17571,16583,17312,21606,23556,26350,21588,23709,27157,24912,25550,26762,27763,27673,23570,24252,26154,28061,31809,40728,48669,55356,56197,65428,74374,79123,92898,107392,119005,135447,151275,168906,168518,181793,195656,204587,220113,239078,261529,285024,304860,314737,333205,351269,363257,387830,404539,407466,418211,434070,447920,459362,470818,488536,504482,517284,530537,539386,549619,551181,557365,562645,569683,576061,586611,594480,603855,610648,615222,621540,630619,637454,639874,639160,622164,622252,615031,615437,615220,615796,619311,616603,604406,605219,607165,607165,610039,612206,608539,610676,609310,608596,611945,615731,619399,622320,624880,627470,631068,635608,632522,635686,638211,641508,640223,645714,650139,653794,659264,661035,663923,665355,668158,668617,673223,677764,677262,681413,679488,679268,681576,685737,689957,693353,695789,700552,697933,703402,709447,714718,713654,716250,720114,722315,713725,716894,719286,719821,716475,700798,698978,697060,697372,698577,696741,692500,680638,677091,673783,674165,674634,670238,669535,672381,672781,672442,667927,671839,672728,675144,680796,682912,688288,690429,693862,695975,702183,710474,717362,725498,733051,739194,747230,754217,759807,768574,775579,780552,786184,792067,790987,792438,792833,791666,797300,800677,803357,807617,810557,814129,812881,816881,820768,826066,830140,838424,838057,835025,841085,846057,850073,853840,853230,857737,858304,860274,861702,865670,868063,870075,872680,872879,877305,867684,872413,879008,880149,885100,890748,896438
1.5_21_100,95730,90705,88075,86885,83622,84612,85072,83945,83863,82253,76512,73046,67523,69541,66180,66896,67850,68388,68997,66895,68775,71098,70244,73646,71354,70771,68043,64243,62053,60649,57021,57891,56522,60822,52708,44815,35940,31908,25538,21723,21026,20198,18212,15934,7529,1304,-1313,-2997,-5537,-5940,-3489,-1487,657,-5598,-5620,-3933,-6321,-9356,-9305,-12269,-12423,-16710,-16249,-15291,-13769,-9032,812,5535,13249,14828,24295,33989,37520,50091,66488,77808,94533,112343,131567,129094,144152,159246,170422,188318,207854,232584,253112,274012,284146,304909,323616,335045,360238,378334,379793,389992,407579,423941,437366,448255,465862,482375,494856,510629,519205,528559,527347,534165,539122,546016,553493,563026,569419,578510,587858,592089,599816,607466,614067,618181,615474,603319,603061,596017,596223,596436,596003,598656,593945,583719,584238,586115,585775,588401,591758,588441,590819,588997,588150,591265,596023,598692,602087,605439,608993,612180,616568,614531,616877,617816,621205,619166,624808,628339,632066,639468,639672,642560,643627,646170,645311,651170,655166,653148,656167,653392,652538,654680,659333,664708,667376,668511,673747,671170,678535,683578,689586,688210,691562,694757,696555,689297,692783,696043,696954,694348,682475,679757,678054,678288,679025,674938,669287,657708,653054,648443,646993,647214,642919,640812,643450,643697,643448,637762,642075,642669,645478,652842,656042,661850,663813,668968,671983,679759,687758,694995,703363,707790,714353,722171,730807,737752,743434,751305,756184,759475,763987,762944,763566,763340,760936,764206,767599,771165,775812,778048,780851,779901,783925,789262,796962,801715,811469,811067,809783,815211,819170,823049,828410,828675,833299,833740,834504,835056,839715,843153,846248,849760,849700,855040,845535,850014,856266,857607,862860,869194,876218
1.0_10_150,88189,75299,60119,50602,39112,34812,31808,27214,21153,15160,-1420,-6569,-19711,-18192,-26846,-27925,-31082,-30492,-30368,-36307,-32060,-29826,-33218,-30415,-40452,-42080,-49919,-62594,-71152,-75027,-83423,-79904,-84287,-71376,-86327,-99399,-119499,-131847,-149669,-164571,-174355,-194285,-212345,-225835,-245370,-261788,-276642,-289836,-301357,-306857,-303818,-306006,-302380,-313827,-316065,-322167,-331806,-339429,-340636,-344015,-349557,-365528,-365025,-362759,-361615,-349213,-332634,-326443,-313849,-314681,-306102,-288143,-281697,-265311,-238461,-227421,-200565,-171299,-147165,-155848,-138714,-117498,-92681,-61114,-28865,3666,23071,51918,61389,94318,125340,134578,164950,187965,182802,198438,223936,247486,274154,286278,310850,331909,350586,377806,389487,403290,402673,410480,416100,434508,449592,464633,473231,491186,506349,515263,530804,544551,554384,556697,552103,531943,529737,511254,505211,506337,502275,506237,496275,476404,472186,474074,469423,475058,481117,469712,473189,466350,459500,468163,476417,480554,489768,492343,499651,506934,515968,509492,513029,512766,521771,516362,526610,532066,544203,562889,560646,561450,562456,568019,563324,572645,578591,572806,576958,571426,566473,569540,578731,587666,591436,593706,599770,596698,606783,615966,622386,618427,618287,625199,621515,606624,612057,617426,618145,609724,587558,580054,570398,564749,560580,547338,532931,512512,501684,485662,479474,474668,463049,450519,454275,448896,446487,433617,442137,436684,439234,455258,463119,471783,480134,490729,491966,509564,524872,541218,554447,565756,576639,590329,604899,619944,633577,647316,651390,655700,663912,657070,662983,656157,649322,653857,657404,661311,672072,679218,684520,678534,684994,693948,709042,725692,746839,748561,747247,757352,765422,776294,783102,782020,789374,789314,790787,787104,790544,798355,806577,813550,813318,828036,812485,819290,830217,833571,842813,854629,865391
2.0_21_250,96849,90350,89101,88541,86664,87799,89437,91054,91595,91158,86020,85637,82837,84168,81570,82360,85229,85557,85090,84337,85042,89443,91102,94920,92607,92251,90968,89126,88238,88270,83874,85221,86200,90924,79999,75083,60862,57032,52274,48700,48756,48224,47761,47380,39581,34078,33927,34327,34184,35783,38704,40902,43966,41790,44263,47896,45284,48596,50165,53555,55389,52906,54783,56055,57628,60516,68714,76298,82082,85458,93962,102591,110599,123044,136810,147825,162322,175720,191711,191491,204854,216840,224692,237015,254396,275472,296201,316114,327005,342535,357465,372250,394911,409043,412313,422900,436311,448323,458741,469922,485753,501681,512890,523973,532661,543465,547021,553669,558522,564053,568927,577965,586082,594458,600869,605231,610461,618936,624639,626070,625962,601812,600845,592941,593738,593865,594959,597105,594218,579754,580506,582304,582988,584951,585754,584114,586548,586066,585514,588028,590799,593179,595391,597634,599483,601790,604626,602910,605538,608663,611543,609451,613303,616776,620420,624572,625540,629342,631256,634879,635598,639165,643122,643668,646962,644324,645007,647024,649813,654564,658331,661100,665123,664241,668885,673627,678110,676777,678714,682057,684567,676693,679263,682289,683706,681489,661152,661391,659095,659298,660205,659265,654013,642041,641155,639870,639546,639702,637119,637406,639522,640331,641155,637266,640580,640599,642939,646844,647630,652230,653006,656130,656139,662704,670347,676498,683848,692630,698567,706111,712396,717139,726505,732735,736807,742276,748442,747428,748683,749181,751261,756843,761145,764573,769015,773638,777569,776755,780095,782567,788088,791585,799254,799487,800711,806172,810575,813369,817700,817233,820401,822315,824954,826351,829297,831649,833231,836894,838249,843104,835615,839915,845239,846216,850994,856430,862055
1.5_10_100,93838,86407,79083,75988,70564,68601,65876,62308,58467,54902,46360,42909,34920,36652,31959,32153,31335,31894,33783,30384,32975,34965,33152,35639,29808,27724,22850,15858,11236,8934,3228,4247,-25,7128,-2964,-11269,-22950,-30521,-40173,-45996,-47912,-56789,-65218,-70694,-83902,-92097,-98508,-104774,-110725,-114754,-115343,-116580,-116021,-122752,-123627,-125169,-131241,-136388,-136518,-138625,-141798,-150828,-150399,-151078,-152751,-142637,-131130,-126025,-117161,-115997,-107817,-95569,-95903,-83156,-63450,-52214,-35517,-12071,10604,7491,20224,39079,60164,87288,111296,139301,158958,181634,193312,220695,246713,257571,282848,303519,301689,314254,336148,355304,378037,391191,410419,428071,441779,463396,474804,484678,483432,490392,495368,508446,518019,528844,535190,548759,562133,568740,582556,592844,599893,601649,597331,583810,582666,571255,569014,570695,566569,568771,561892,549868,548792,551128,549285,552317,557255,549737,551551,546502,543020,546750,551187,552788,559203,557996,562750,565081,571333,567668,569852,569064,574558,571644,577415,582951,591553,605301,603194,605224,604726,607071,604174,610362,616325,611513,613645,608525,605637,607718,614349,622717,626647,628067,634139,631380,639422,645081,651404,648892,650874,653903,651255,640453,643863,647620,647185,642316,628976,626906,623638,622944,621188,613180,603592,590121,585158,577568,575935,573577,565258,557512,560789,558164,557503,551727,557286,554467,555052,565371,570321,577655,583212,591420,593485,606823,618250,629314,638847,644988,654708,664317,675472,684672,690436,697393,700591,704801,709926,708845,711551,706635,701772,704445,705793,708141,715258,718787,722672,718211,722205,727382,738044,750201,767551,765961,765779,772751,778442,785708,791994,792203,797307,798124,798589,797891,802431,807129,813508,818728,818933,828331,818376,823048,831582,836038,842894,850232,860865
1.75_21_100,96818,93230,91868,91435,89481,90527,91180,90903,91746,90400,86426,84870,80971,82943,80425,81195,82923,83281,83551,81910,83229,85958,86013,89601,88453,87660,85780,82949,81737,80701,77679,77941,76788,80974,74223,68046,60370,57306,52817,50463,50313,49901,48548,47369,41353,37167,36242,35013,34280,34012,36736,38642,40678,35743,36542,38339,36800,34312,35112,34155,34145,30550,31178,32531,33878,37366,45085,51097,57490,58433,66804,75026,78203,89193,103303,113086,128858,143966,160917,159946,172793,185816,194607,209154,226695,248676,270283,289148,298900,317068,332929,343722,366190,382303,384782,394964,410495,424288,435280,445550,462152,477598,489203,502506,511093,520580,520084,526328,531338,537852,543912,551670,558380,566117,573188,576554,582306,589668,596017,598701,597388,586092,586273,581356,581646,581635,581506,584073,581715,572946,573453,575389,575457,577767,580344,576649,578191,576745,576831,579732,583688,586176,588260,590448,593522,596512,600727,597752,600718,602682,605693,604550,609158,612675,616320,622240,622886,625397,626285,627885,627682,632510,636234,633790,636859,635225,635105,637488,641646,645713,648295,649778,654929,653471,659490,663945,669193,668679,671381,674493,676775,670975,673550,676032,677377,675221,664644,662883,661815,662077,663212,661469,658324,648974,645888,642586,642767,643588,640508,639557,641763,641421,641554,637161,640403,640918,643349,648961,651244,656396,657997,661920,664207,670491,677509,684075,691523,696527,702201,709477,716256,721648,728910,735543,739531,744262,748433,747681,748514,749050,747629,750177,754064,756912,760190,762510,764715,764387,768138,772376,778134,782108,790268,789290,787716,792836,796040,800046,804843,805567,809230,810038,811721,813527,817083,819592,821878,824537,824609,828745,821715,826071,831588,832483,837374,842547,848485
1.25_21_100,93483,87108,83431,81579,77456,77250,77495,74493,72760,69142,61872,58457,51842,54598,50442,50593,49554,50131,51120,49024,51383,52949,51811,54466,50455,49020,45098,39847,36578,34323,29345,28863,25644,31228,22064,12949,2499,-3163,-11837,-18007,-19469,-21646,-24778,-30339,-41421,-50693,-54682,-58664,-63096,-63330,-60643,-60845,-59340,-66637,-70135,-68806,-72019,-75238,-76148,-81077,-81928,-87307,-87442,-86569,-84982,-78926,-68804,-64233,-55671,-55059,-46662,-34363,-30329,-17290,1971,14982,32838,53178,74053,71695,87813,104864,118882,139931,160633,186925,206085,226209,235103,259027,279533,289442,315630,335577,335928,347078,366805,385218,400275,412533,432771,450134,464036,482491,492556,503543,502728,508582,513074,521811,529904,540015,546508,557665,568879,573980,583347,594134,601485,604442,600991,588132,587220,578111,577081,577270,575811,578572,571710,560034,558392,560604,559075,561421,565516,560515,562384,559017,556816,561042,566934,569256,572618,575101,578793,581102,585920,583064,585201,585689,589369,586748,592879,597354,602365,611544,610917,613658,614001,617227,615970,620745,626280,621431,623057,619931,617567,619361,624914,630429,634033,634728,640331,637167,644762,649943,655863,654660,656077,659743,660446,651805,655449,658647,659151,655968,643190,639463,636933,637078,637987,631046,623580,610491,603640,595804,593835,591328,586127,581568,584548,583910,583395,575482,580273,579781,583641,592509,595905,601965,605152,611252,613993,623848,633367,642087,650306,656442,665102,674955,683857,692707,697675,707444,711241,715574,721645,720460,722054,721026,716992,719038,722655,725396,731081,734936,737929,735735,740391,746223,756221,762550,774243,773109,771619,777582,781641,786715,792678,793426,798422,798300,797753,797558,802497,806945,811034,814707,815463,821662,812157,817248,823533,824613,830075,837242,845132
2.0_21_200,96249,91147,90298,90088,88216,88721,90609,91529,92428,92691,88083,87691,84695,86476,84458,84902,87591,88669,88742,87527,88465,91852,92649,96533,94574,94141,92481,89455,88214,87823,83831,85268,86227,91101,82124,77244,65763,62727,58222,55448,55554,55172,54859,54778,48049,43223,42857,43035,42417,43811,46162,48810,51076,46573,48820,52753,50392,52879,55118,58066,59106,56297,57600,59000,60643,63251,70719,77881,82523,85289,93408,101967,109273,121322,134283,144788,159335,172198,187429,185863,197874,210010,217310,229683,247264,267860,288459,306924,318305,333955,348955,362222,384609,398910,402438,412425,425886,437478,447136,457977,473738,488800,499999,511082,519376,529630,531436,538134,543257,548888,553962,562770,570342,578274,584039,588579,593605,601398,606911,608542,609011,589658,589341,583287,584184,584298,585342,587838,585004,571615,572567,573900,574320,576263,577516,575456,578014,577778,577698,580312,583383,585761,588223,590546,592601,595180,598246,595067,597235,600138,602938,600572,604724,608383,611662,615832,616272,619936,621074,624020,625389,629296,633173,633458,635960,633328,634627,636814,639777,644074,647931,649786,654261,651912,656856,661798,666007,665368,667775,671045,673587,666099,668319,671185,671810,669002,652005,651763,650017,650270,651177,650687,646985,637147,636217,634645,634621,635127,632538,633075,634686,635402,635581,632002,635316,635647,637706,641711,642407,646611,648037,650444,651143,656395,663520,669856,677396,685480,691705,698345,704680,708510,716728,723608,726818,732233,737865,736289,737564,738062,739399,744417,747397,751335,755717,759244,762673,761907,764899,767741,772710,775997,783396,783576,783183,788294,792837,795487,799222,799027,802246,802915,804690,806227,809273,811769,813241,816524,817719,822272,814310,818510,823774,824151,828531,833661,839736
2.0_5_100,95439,84910,78100,72860,65938,61256,58995,54480,53946,50495,42639,41911,33097,33435,28049,28335,26650,26043,26984,23096,24223,23708,22683,26215,20031,18476,13540,5600,1585,-1539,-5748,-5688,-10016,-1431,-10027,-17648,-29709,-34623,-41368,-45772,-51247,-59636,-66229,-74300,-83452,-94305,-98478,-105707,-111375,-118598,-118535,-122993,-121595,-127775,-132100,-134383,-140415,-145403,-144495,-150871,-152919,-164242,-167466,-167396,-168683,-161693,-149542,-145493,-137272,-136437,-128471,-115549,-115300,-102100,-79855,-66299,-49799,-28493,-7777,-11760,2377,21146,40454,70762,91720,117877,133966,154961,162891,193369,217653,230641,257905,279559,277629,289147,309955,333497,355071,368388,387978,407020,421201,446598,459616,470145,468828,474613,477657,487417,497854,508242,515242,529168,542208,547040,560921,570544,575936,577707,573699,560410,559184,547650,543289,545217,544833,546047,535454,523192,515820,518028,515520,517685,523195,515202,516855,510878,507025,510731,517028,519149,524997,522632,528023,529112,533444,529715,530254,530466,535659,533421,538306,545245,555529,571995,569988,572420,572111,575275,573597,580263,587418,582548,584483,579449,574946,578732,585742,593228,597496,598370,603667,601097,608682,614919,620752,618404,620680,623819,621174,611102,614372,617288,614542,609000,595922,595288,590046,590500,589216,582130,573636,560253,556421,551310,548654,541610,534536,528702,529858,528406,529095,519209,522922,519012,518072,531450,534487,540606,544951,551151,551789,562622,576699,586732,596187,604909,613810,627841,638840,648683,654656,663300,665527,670344,675770,670146,671954,666838,664474,666314,668370,672611,677649,680972,684277,682232,683314,690789,705674,717446,734604,733913,735875,742807,748395,756445,764164,764626,770221,768282,767349,767993,773459,781193,786813,792002,792334,803469,792000,796432,805206,808616,816501,824766,835258
2.0_21_150,97029,93227,92018,91903,90149,90970,92329,92597,93424,93415,90137,89092,85737,87418,85868,86462,87951,89607,90066,89194,90030,93219,94119,97713,96240,96260,94530,91791,91290,91178,88141,89496,90365,94769,87734,83049,74168,71684,67719,65500,65504,65062,64731,64454,59425,55554,55015,54965,54633,55461,58062,59941,62007,56597,58844,62167,60091,61072,62705,64081,64569,61141,61985,63955,65608,68516,76284,83086,88350,90030,98064,105553,110595,122020,134383,144498,157985,170998,186379,186333,198602,210888,218098,230261,247442,267748,288647,306197,315726,331480,346270,358279,379471,394072,397632,406774,420285,431727,441485,452106,467433,482713,492709,503792,511734,522070,523570,529214,534063,539612,544672,553490,560164,568104,573879,577441,582707,590780,596113,597872,597356,581777,582110,576304,577129,577173,577717,580197,577819,567068,567890,569093,569663,571676,573053,570919,573615,572620,572702,575168,578239,580867,583399,585084,587337,589675,592991,589918,592454,595171,597197,595537,599559,602778,606087,610421,611801,614939,616094,618699,619051,622828,626725,626618,629620,627614,628109,630134,633133,637041,640646,642285,646551,644423,649389,654531,658720,658211,661015,664585,667197,660323,662584,665230,666285,663722,650717,650263,649067,649160,650067,649857,646404,637514,635860,634528,634478,635334,633621,633356,635037,634695,634284,631477,634581,635012,637291,641396,642382,646475,647741,650688,652209,657391,664576,670328,677757,684350,690035,696369,702514,706764,713684,719767,723989,729314,733736,732480,733895,734563,735358,740226,743266,745842,750324,753457,755870,754291,757519,760425,764804,768350,775325,774738,773880,779200,783285,786145,790160,790706,794400,795189,796780,798462,801608,804154,805746,808313,809161,813323,805706,809342,814386,814719,818979,824149,829190
